Iterations,Win,Draw ,Lose ,House Edge
16101,0.45,0.055,0.4913,0.0376
16201,0.46,0.0555,0.4819,0.0193
16301,0.46,0.0612,0.4789,0.019
16401,0.47,0.0564,0.473,0.0024
16501,0.47,0.0544,0.4785,0.0114
16601,0.47,0.058,0.4766,0.0112
16701,0.46,0.0554,0.4891,0.0336
16801,0.46,0.0576,0.4818,0.0212
16901,0.45,0.0549,0.498,0.0509
17001,0.46,0.058,0.4807,0.0194
17101,0.45,0.0594,0.4872,0.0338
17201,0.46,0.0533,0.4898,0.0329
17301,0.45,0.0602,0.4863,0.0328
17401,0.46,0.0559,0.4849,0.0257
17501,0.44,0.0508,0.5078,0.0664
17601,0.45,0.0569,0.4935,0.0439
17701,0.44,0.0531,0.505,0.0631
17801,0.46,0.0569,0.4796,0.0161
17901,0.46,0.0585,0.4796,0.0177
18001,0.46,0.0517,0.4846,0.0209
18101,0.47,0.0548,0.4772,0.0092
18201,0.46,0.0529,0.4848,0.0225
18301,0.45,0.0567,0.4948,0.0463
18401,0.46,0.0549,0.4802,0.0153
18501,0.46,0.057,0.4862,0.0294
18601,0.46,0.0529,0.4916,0.0361
18701,0.46,0.0595,0.4821,0.0237
18801,0.46,0.0548,0.4848,0.0244
18901,0.46,0.0558,0.4878,0.0314
19001,0.46,0.0573,0.4839,0.0251
19101,0.45,0.0544,0.4912,0.0368
19201,0.45,0.0565,0.4894,0.0353
19301,0.46,0.0585,0.4863,0.0311
19401,0.47,0.0533,0.4806,0.0145
19501,0.45,0.054,0.496,0.046
19601,0.46,0.0588,0.4767,0.0122
19701,0.46,0.0566,0.4881,0.0328
19801,0.45,0.0581,0.4896,0.0373
19901,0.45,0.058,0.4872,0.0324
20001,0.46,0.0556,0.4874,0.0304
20101,0.46,0.0561,0.4795,0.0151
20201,0.45,0.0568,0.4892,0.0352
20301,0.46,0.0594,0.4799,0.0192
20401,0.46,0.0539,0.4849,0.0237
20501,0.46,0.0552,0.486,0.0272
20601,0.45,0.0558,0.4961,0.048
20701,0.45,0.0592,0.4892,0.0376
20801,0.46,0.0583,0.4823,0.0229
20901,0.44,0.059,0.4982,0.0554
21001,0.47,0.0579,0.4767,0.0113
21101,0.46,0.061,0.4828,0.0266
21201,0.46,0.0574,0.4863,0.03
21301,0.46,0.0575,0.4809,0.0193
21401,0.46,0.0553,0.4866,0.0285
21501,0.46,0.0622,0.4813,0.0248
21601,0.46,0.0583,0.4802,0.0187
21701,0.46,0.0508,0.4926,0.036
21801,0.46,0.0598,0.4842,0.0282
21901,0.45,0.0573,0.4896,0.0365
22001,0.46,0.0562,0.4857,0.0276
22101,0.46,0.0606,0.4792,0.019
22201,0.46,0.0556,0.4819,0.0194
